epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,28203.6,0.91944,1.11623,1.12934,0.77115,0.7832,0.8205,0.56544,1.07071,1.1454,1.24765,0.0018082,0.0018082,0.0018082
125,28428.3,0.92294,1.12079,1.12911,0.77216,0.78296,0.82056,0.56596,1.07026,1.14522,1.24712,0.0017416,0.0017416,0.0017416
126,28663.4,0.9212,1.11691,1.13002,0.77262,0.78199,0.82082,0.56609,1.06985,1.14439,1.24666,0.001675,0.001675,0.001675
127,28898.2,0.92403,1.11834,1.12657,0.77191,0.78257,0.82063,0.56624,1.06971,1.14462,1.24643,0.0016084,0.0016084,0.0016084
128,29120.5,0.91574,1.10845,1.12642,0.77042,0.78337,0.82073,0.56683,1.06912,1.14431,1.24581,0.0015418,0.0015418,0.0015418
129,29344.5,0.91341,1.10069,1.12344,0.7714,0.7838,0.82085,0.56704,1.06888,1.14421,1.24532,0.0014752,0.0014752,0.0014752
130,29569.8,0.91259,1.09979,1.12133,0.77058,0.78462,0.82107,0.56739,1.06851,1.14359,1.24491,0.0014086,0.0014086,0.0014086
131,29792.8,0.90477,1.09119,1.11851,0.77137,0.78328,0.82087,0.56756,1.06822,1.14336,1.24448,0.001342,0.001342,0.001342
132,30015.4,0.90847,1.09265,1.12097,0.76644,0.78704,0.82096,0.56794,1.06771,1.14358,1.24386,0.0012754,0.0012754,0.0012754
133,30251.1,0.90565,1.08769,1.11607,0.77289,0.7825,0.82113,0.56867,1.06743,1.14349,1.24343,0.0012088,0.0012088,0.0012088
134,30482.7,0.90177,1.08288,1.11659,0.77204,0.78243,0.82103,0.56904,1.06737,1.14353,1.24297,0.0011422,0.0011422,0.0011422
135,30709.2,0.89938,1.07667,1.1155,0.77273,0.78248,0.82121,0.56934,1.06703,1.14319,1.24267,0.0010756,0.0010756,0.0010756
136,30944.2,0.89505,1.06192,1.11279,0.7743,0.7823,0.82142,0.56963,1.06667,1.14317,1.24216,0.001009,0.001009,0.001009
137,31177.5,0.89834,1.06897,1.10966,0.77363,0.78237,0.821,0.56965,1.06648,1.14334,1.24182,0.0009424,0.0009424,0.0009424
138,31410.2,0.88976,1.05587,1.11005,0.77495,0.78225,0.821,0.57007,1.06624,1.14377,1.24145,0.0008758,0.0008758,0.0008758
139,31639.9,0.88845,1.05433,1.10886,0.77186,0.78507,0.82097,0.57017,1.06624,1.14394,1.24132,0.0008092,0.0008092,0.0008092
140,31873.4,0.88594,1.04851,1.10744,0.76801,0.78849,0.82093,0.57056,1.06621,1.1437,1.24109,0.0007426,0.0007426,0.0007426
141,32099.7,0.85135,0.94812,1.10462,0.76811,0.78789,0.82095,0.5707,1.06629,1.14404,1.24099,0.000676,0.000676,0.000676
142,32332.5,0.84011,0.93053,1.09678,0.76903,0.7871,0.82083,0.57105,1.06582,1.14434,1.2408,0.0006094,0.0006094,0.0006094
143,32554.2,0.8375,0.9223,1.0966,0.76943,0.78746,0.82106,0.57149,1.06599,1.14446,1.24085,0.0005428,0.0005428,0.0005428
144,32776.6,0.83167,0.91079,1.08954,0.7699,0.78788,0.82136,0.57202,1.06556,1.14485,1.24045,0.0004762,0.0004762,0.0004762
145,33007.9,0.83037,0.9042,1.08951,0.772,0.78608,0.82137,0.57265,1.06535,1.14498,1.24019,0.0004096,0.0004096,0.0004096
146,33241.2,0.8245,0.89976,1.08598,0.77191,0.78488,0.82107,0.57309,1.06509,1.14506,1.23994,0.000343,0.000343,0.000343
147,33468.6,0.82071,0.89278,1.08427,0.77391,0.78502,0.82128,0.57325,1.06517,1.1452,1.23987,0.0002764,0.0002764,0.0002764
148,33692.4,0.8151,0.88627,1.08376,0.77042,0.78739,0.82129,0.57356,1.06502,1.14553,1.23972,0.0002098,0.0002098,0.0002098
149,33915.5,0.81256,0.88319,1.08122,0.76771,0.78945,0.82093,0.57388,1.06484,1.14513,1.23948,0.0001432,0.0001432,0.0001432
150,34145.8,0.81276,0.87773,1.0803,0.76806,0.78973,0.82131,0.57412,1.06467,1.14514,1.23927,7.66e-05,7.66e-05,7.66e-05
